Id,Organization Id,Type,Status
1,22,DEVELOP,ACTIVE
2,51,MAINTAIN,IN_TERMINATION
3,51,RESELL,ACTIVE
4,22,MAINTAIN,ONBOARDING
5,11,RESELL,ACTIVE
6,11,EXPLORE,ACTIVE
7,34,CONSULT,ACTIVE
8,34,EXPLORE,ONBOARDING
9,34,RESELL,ACTIVE
10,73,CONSULT,IN_TERMINATION
11,78,EXPLORE,ONBOARDING
12,78,RESELL,ACTIVE
13,5,RESELL,ACTIVE
14,5,DEVELOP,ACTIVE
15,4,RESELL,ONBOARDING
16,5,CONSULT,ACTIVE
17,16,RESELL,ACTIVE
18,16,CONSULT,ACTIVE
19,19,EXPLORE,RETIRED
21,64,RESELL,RETIRED
22,95,RESELL,RETIRED
23,51,EXPLORE,ACTIVE
24,44,DEVELOP,ACTIVE
25,82,MAINTAIN,RETIRED
26,39,EXPLORE,ACTIVE
27,30,CONSULT,ACTIVE
28,88,DEVELOP,ACTIVE
30,34,MAINTAIN,ACTIVE
33,8,MAINTAIN,ACTIVE
34,44,RESELL,ACTIVE
35,96,EXPLORE,ACTIVE
36,9,EXPLORE,ACTIVE
37,60,EXPLORE,ACTIVE
38,16,DEVELOP,ACTIVE
39,39,DEVELOP,ONBOARDING
40,96,RESELL,ACTIVE
42,39,RESELL,IN_TERMINATION
43,96,CONSULT,ACTIVE
44,80,DEVELOP,ONBOARDING
45,74,EXPLORE,ONBOARDING
46,89,EXPLORE,ACTIVE
47,89,RESELL,ACTIVE
48,60,CONSULT,IN_TERMINATION
49,73,MAINTAIN,IN_TERMINATION
50,73,DEVELOP,ACTIVE
