Id,Enrollment Id,Type,Start Date,End Date
1,15,Gold,2006-11-04,2029-06-14
2,15,HSpec,2006-11-04,2029-04-14
3,15,TSpec,2006-11-04,""
4,23,Silver,2006-11-04,2029-10-14
5,24,Gold,2006-11-04,2029-08-14
6,25,Bronze,2006-11-04,2029-04-14
7,26,Bronze,2006-11-04,""
8,27,Gold,2006-11-04,2029-08-14
9,28,Gold,2006-11-04,2029-05-14
10,30,HSpec,2006-11-04,2029-09-14
11,33,SDriven,2006-11-04,2029-06-14
12,33,Gold,2006-11-04,2029-07-14
13,33,Gold,2006-11-04,""
14,23,Silver,2006-11-04,2029-10-14
15,23,Silver,2006-11-04,2029-02-14
16,23,Bronze,2006-11-04,2029-04-14
17,42,HSpec,2006-11-04,2029-08-14
18,43,HSpec,2006-11-04,2029-10-14
19,44,SDriven,2006-11-04,2029-05-14
20,45,Bronze,2006-11-04,2029-04-14
21,46,Gold,2006-11-04,2029-12-14
22,47,SDriven,2006-11-04,""
23,48,Gold,2006-11-04,2029-08-14
24,49,SDriven,2006-11-04,""
25,50,Gold,2006-11-04,2029-02-14
26,50,Gold,2006-11-04,2029-05-14
27,50,Silver,2006-11-04,2029-01-14
28,50,SDriven,2006-11-04,2029-10-14
